Participant_ID,Completion_Code,Sex,Age,Musician_type,Excerpt_filename,Filename,Type,Musician,Excerpt,Condition,ConditionCong,PC1,PC2,PC3,PC4,PC5,fact_PC1,fact_PC2,fact_PC3,fact_PC4,fact_PC5,fact_mdn_PC1,fact_mdn_PC2,fact_mdn_PC3,fact_mdn_PC4,fact_mdn_PC5,Liking,Expressivity,GEMMES,GEMMES_Value,GEMMES_Bin
R_10HEAZeVcP8Usas,86459230,F,23,Mus,05_Br_Fl_T2,05_Br_Fl_T2.mp3,Audio,05,3BrFo,3Fl,4Incong,0,0,0.4878,0.32278,-0.60451,0.41966,-0.99907,1Low,1Low,1Low,1Low,1Low,2High,2High,1Low,2High,1Low,GEMMES_Interior,0,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,05_Br_Fl_T2,05_Br_Fl_T2.mp3,Audio,05,3BrFo,3Fl,4Incong,0,0,0.4878,0.32278,-0.60451,0.41966,-0.99907,1Low,1Low,1Low,1Low,1Low,2High,2High,1Low,2High,1Low,GEMMES_Wandering,0,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,05_Br_Fo_T2,05_Br_Fo_T2.mp3,Audio,05,3BrFo,5Fo,3Cong,0,3,1.11613,0.30693,-1.16,0.936,-1.13388,2High,1Low,1Low,2High,1Low,2High,2High,1Low,2High,1Low,GEMMES_Flow,0,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,05_Br_Fo_T2,05_Br_Fo_T2.mp3,Audio,05,3BrFo,5Fo,3Cong,0,3,1.11613,0.30693,-1.16,0.936,-1.13388,2High,1Low,1Low,2High,1Low,2High,2High,1Low,2High,1Low,GEMMES_Movement,3,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,05_Br_Fo_T2,05_Br_Fo_T2.mp3,Audio,05,3BrFo,5Fo,3Cong,0,3,1.11613,0.30693,-1.16,0.936,-1.13388,2High,1Low,1Low,2High,1Low,2High,2High,1Low,2High,1Low,GEMMES_Force,2,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,05_Br_Fo_T2,05_Br_Fo_T2.mp3,Audio,05,3BrFo,5Fo,3Cong,0,3,1.11613,0.30693,-1.16,0.936,-1.13388,2High,1Low,1Low,2High,1Low,2High,2High,1Low,2High,1Low,GEMMES_Interior,0,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,05_Br_Fo_T2,05_Br_Fo_T2.mp3,Audio,05,3BrFo,5Fo,3Cong,0,3,1.11613,0.30693,-1.16,0.936,-1.13388,2High,1Low,1Low,2High,1Low,2High,2High,1Low,2High,1Low,GEMMES_Wandering,0,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,05_Br_Pr_T2,05_Br_Pr_T2.mp3,Audio,05,3BrFo,2Pr,2Pr,0,1,1.06865,0.21893,-0.85581,0.39733,-0.82082,2High,1Low,1Low,1Low,1Low,2High,2High,1Low,2High,1Low,GEMMES_Flow,0,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,05_Br_Pr_T2,05_Br_Pr_T2.mp3,Audio,05,3BrFo,2Pr,2Pr,0,1,1.06865,0.21893,-0.85581,0.39733,-0.82082,2High,1Low,1Low,1Low,1Low,2High,2High,1Low,2High,1Low,GEMMES_Movement,1,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,05_Br_Pr_T2,05_Br_Pr_T2.mp3,Audio,05,3BrFo,2Pr,2Pr,0,1,1.06865,0.21893,-0.85581,0.39733,-0.82082,2High,1Low,1Low,1Low,1Low,2High,2High,1Low,2High,1Low,GEMMES_Force,0,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,05_Br_Pr_T2,05_Br_Pr_T2.mp3,Audio,05,3BrFo,2Pr,2Pr,0,1,1.06865,0.21893,-0.85581,0.39733,-0.82082,2High,1Low,1Low,1Low,1Low,2High,2High,1Low,2High,1Low,GEMMES_Interior,0,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,05_Br_Pr_T2,05_Br_Pr_T2.mp3,Audio,05,3BrFo,2Pr,2Pr,0,1,1.06865,0.21893,-0.85581,0.39733,-0.82082,2High,1Low,1Low,1Low,1Low,2High,2High,1Low,2High,1Low,GEMMES_Wandering,0,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,05_Ca_Dp_T1,05_Ca_Dp_T1.mp4,Video,05,1CaFl,1Dp,1Dp,0,0,0.16612,-1.20305,0.39114,-0.97928,-0.48441,1Low,1Low,1Low,1Low,1Low,1Low,1Low,2High,1Low,1Low,GEMMES_Flow,0,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,05_Ca_Dp_T1,05_Ca_Dp_T1.mp4,Video,05,1CaFl,1Dp,1Dp,0,0,0.16612,-1.20305,0.39114,-0.97928,-0.48441,1Low,1Low,1Low,1Low,1Low,1Low,1Low,2High,1Low,1Low,GEMMES_Movement,1,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,05_Ca_Dp_T1,05_Ca_Dp_T1.mp4,Video,05,1CaFl,1Dp,1Dp,0,0,0.16612,-1.20305,0.39114,-0.97928,-0.48441,1Low,1Low,1Low,1Low,1Low,1Low,1Low,2High,1Low,1Low,GEMMES_Force,0,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,05_Ca_Dp_T1,05_Ca_Dp_T1.mp4,Video,05,1CaFl,1Dp,1Dp,0,0,0.16612,-1.20305,0.39114,-0.97928,-0.48441,1Low,1Low,1Low,1Low,1Low,1Low,1Low,2High,1Low,1Low,GEMMES_Interior,0,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,05_Ca_Dp_T1,05_Ca_Dp_T1.mp4,Video,05,1CaFl,1Dp,1Dp,0,0,0.16612,-1.20305,0.39114,-0.97928,-0.48441,1Low,1Low,1Low,1Low,1Low,1Low,1Low,2High,1Low,1Low,GEMMES_Wandering,1,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,05_Ca_Fl_T1,05_Ca_Fl_T1.mp4,Video,05,1CaFl,3Fl,3Cong,2,2,-0.51167,-0.54641,0.26244,-0.08418,-0.42683,1Low,1Low,1Low,1Low,1Low,1Low,1Low,2High,1Low,1Low,GEMMES_Flow,3,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,05_Ca_Fl_T1,05_Ca_Fl_T1.mp4,Video,05,1CaFl,3Fl,3Cong,2,2,-0.51167,-0.54641,0.26244,-0.08418,-0.42683,1Low,1Low,1Low,1Low,1Low,1Low,1Low,2High,1Low,1Low,GEMMES_Movement,0,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,05_Ca_Fl_T1,05_Ca_Fl_T1.mp4,Video,05,1CaFl,3Fl,3Cong,2,2,-0.51167,-0.54641,0.26244,-0.08418,-0.42683,1Low,1Low,1Low,1Low,1Low,1Low,1Low,2High,1Low,1Low,GEMMES_Force,0,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,05_Ca_Fl_T1,05_Ca_Fl_T1.mp4,Video,05,1CaFl,3Fl,3Cong,2,2,-0.51167,-0.54641,0.26244,-0.08418,-0.42683,1Low,1Low,1Low,1Low,1Low,1Low,1Low,2High,1Low,1Low,GEMMES_Interior,3,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,05_Ca_Fl_T1,05_Ca_Fl_T1.mp4,Video,05,1CaFl,3Fl,3Cong,2,2,-0.51167,-0.54641,0.26244,-0.08418,-0.42683,1Low,1Low,1Low,1Low,1Low,1Low,1Low,2High,1Low,1Low,GEMMES_Wandering,0,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,05_Ca_Fo_T2,05_Ca_Fo_T2.mp4,Video,05,1CaFl,5Fo,4Incong,0,1,-0.00362,-0.4994,0.97991,0.38301,-2.03522,1Low,1Low,2High,1Low,1Low,1Low,1Low,2High,2High,1Low,GEMMES_Flow,0,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,05_Ca_Fo_T2,05_Ca_Fo_T2.mp4,Video,05,1CaFl,5Fo,4Incong,0,1,-0.00362,-0.4994,0.97991,0.38301,-2.03522,1Low,1Low,2High,1Low,1Low,1Low,1Low,2High,2High,1Low,GEMMES_Movement,0,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,05_Ca_Fo_T2,05_Ca_Fo_T2.mp4,Video,05,1CaFl,5Fo,4Incong,0,1,-0.00362,-0.4994,0.97991,0.38301,-2.03522,1Low,1Low,2High,1Low,1Low,1Low,1Low,2High,2High,1Low,GEMMES_Force,0,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,05_Ca_Fo_T2,05_Ca_Fo_T2.mp4,Video,05,1CaFl,5Fo,4Incong,0,1,-0.00362,-0.4994,0.97991,0.38301,-2.03522,1Low,1Low,2High,1Low,1Low,1Low,1Low,2High,2High,1Low,GEMMES_Interior,0,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,05_Ca_Fo_T2,05_Ca_Fo_T2.mp4,Video,05,1CaFl,5Fo,4Incong,0,1,-0.00362,-0.4994,0.97991,0.38301,-2.03522,1Low,1Low,2High,1Low,1Low,1Low,1Low,2High,2High,1Low,GEMMES_Wandering,0,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,05_Ca_Pr_T2,05_Ca_Pr_T2.mp4,Video,05,1CaFl,2Pr,2Pr,2,0,-0.18087,-0.91622,0.8102,-0.0476,-1.29511,1Low,1Low,2High,1Low,1Low,1Low,1Low,2High,1Low,1Low,GEMMES_Flow,1,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,05_Ca_Pr_T2,05_Ca_Pr_T2.mp4,Video,05,1CaFl,2Pr,2Pr,2,0,-0.18087,-0.91622,0.8102,-0.0476,-1.29511,1Low,1Low,2High,1Low,1Low,1Low,1Low,2High,1Low,1Low,GEMMES_Movement,0,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,05_Ca_Pr_T2,05_Ca_Pr_T2.mp4,Video,05,1CaFl,2Pr,2Pr,2,0,-0.18087,-0.91622,0.8102,-0.0476,-1.29511,1Low,1Low,2High,1Low,1Low,1Low,1Low,2High,1Low,1Low,GEMMES_Force,0,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,05_Ca_Pr_T2,05_Ca_Pr_T2.mp4,Video,05,1CaFl,2Pr,2Pr,2,0,-0.18087,-0.91622,0.8102,-0.0476,-1.29511,1Low,1Low,2High,1Low,1Low,1Low,1Low,2High,1Low,1Low,GEMMES_Interior,1,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,05_Ca_Pr_T2,05_Ca_Pr_T2.mp4,Video,05,1CaFl,2Pr,2Pr,2,0,-0.18087,-0.91622,0.8102,-0.0476,-1.29511,1Low,1Low,2High,1Low,1Low,1Low,1Low,2High,1Low,1Low,GEMMES_Wandering,0,0
